id,index,ret_subj,ploss_subj,avgloss_subj,exploss_subj,glscore_calc,experience_stockmarket_subj,experience_swiss_stockmarket_subj,knowledge_stockmarket_subj,knowledge_swiss_stockmarket_subj,num_investments_subj,mroi_obj,var_obj,avgloss_obj,ploss_obj,maxloss_obj,evloss_x_ploss_obj,quest,perceived
71,ActelionN,6,9,16,17,10,4,1,4,1,1,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
72,ActelionN,7,45,25,50,11,1,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,2
74,ActelionN,6,45,12,15,11,5,1,4,1,100,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
75,ActelionN,5,2,20,5,12,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
76,ActelionN,6,38,15,10,9,1,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
78,ActelionN,5,5,0,0,9,3,1,3,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
80,ActelionN,6,49,80,80,10,3,3,4,4,15,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
81,ActelionN,5,50,30,40,10,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
82,ActelionN,5,5,20,10,11,3,1,3,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
83,ActelionN,7,30,25,20,11,5,3,4,3,5,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
84,ActelionN,6,35,20,15,13,4,1,3,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
86,ActelionN,5,10,5,10,10,2,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
87,ActelionN,5,10,5,20,13,2,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
89,ActelionN,5,55,17,20,10,3,1,3,1,5,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
90,ActelionN,5,50,20,50,10,2,1,4,3,20,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,4
91,ActelionN,4,50,15,20,10,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
92,ActelionN,2,75,60,60,7,2,1,2,1,1,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
93,ActelionN,6,45,1,20,10,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
95,ActelionN,7,45,7,20,9,3,1,3,1,3,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
96,ActelionN,6,60,10,10,11,4,2,4,2,20,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
97,ActelionN,7,40,14,2,10,1,1,3,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
98,ActelionN,4,65,15,90,3,3,1,3,1,2,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
99,ActelionN,5,25,20,25,9,2,1,3,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
100,ActelionN,7,50,8,5,12,5,2,5,2,20,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
101,ActelionN,3,50,45,53,10,2,2,2,2,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
103,ActelionN,3,80,20,80,12,2,1,3,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
104,ActelionN,5,6,15,20,6,1,1,2,1,1,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
105,ActelionN,5,40,40,45,8,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
106,ActelionN,7,45,15,8,12,4,3,4,3,15,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
107,ActelionN,7,10,12,17,11,1,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
108,ActelionN,7,50,45,0,11,2,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
109,ActelionN,6,25,40,40,10,4,4,5,4,3,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
110,ActelionN,1,100,40,10,10,2,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
111,ActelionN,4,10,56,10,11,1,1,2,1,5,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
112,ActelionN,5,30,25,10,12,1,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
113,ActelionN,1,60,75,10,11,4,3,3,3,100,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
114,ActelionN,7,45,12,0,11,2,1,2,1,4,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
116,ActelionN,6,40,20,20,12,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
119,ActelionN,7,30,17,2,12,3,1,3,1,1,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
120,ActelionN,5,53,15,10,11,3,1,3,1,5,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
123,ActelionN,2,5,6,30,10,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
127,ActelionN,6,20,15,2,12,3,1,4,1,36,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
129,ActelionN,5,0,30,30,7,3,2,3,1,2,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
130,ActelionN,6,55,15,15,12,1,1,3,2,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
131,ActelionN,6,10,15,15,6,2,1,3,1,1,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
133,ActelionN,4,7,5,3,8,2,1,2,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,3
134,ActelionN,7,50,10,5,11,3,1,3,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,7
135,ActelionN,4,45,45,25,9,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,5
136,ActelionN,5,50,50,55,11,1,1,1,1,0,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
138,ActelionN,7,50,0,0,12,4,1,4,1,5,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
139,ActelionN,3,30,30,25,10,4,2,4,2,50,0.213111028785714,0.193701237656427,0.133545806285714,0.5,0.03142329,0.0667729031428571,Fluctuation,6
