"firm","year","date","ROIyearly","ROIyearly2","uniparkorder","i.uniparkorder"
"USBGroupN",2011,2011-06-01,-0.26537216828479,-0.26537216828479,18,18
"USBGroupN",2012,2012-06-01,0.317180616740088,0.317180616740088,18,18
"USBGroupN",2013,2013-06-01,0.121739130434783,0.121739130434783,18,18
"USBGroupN",2014,2014-06-01,0.0232558139534884,0.0232558139534884,18,18
"USBGroupN",2015,2015-06-01,0.121794871794872,0.121794871794872,18,18
"ZurichInsurGrpN",2003,2003-06-01,0.292138199805141,0.292138199805141,19,19
"ZurichInsurGrpN",2004,2004-06-01,0.0820718055797228,0.0820718055797228,19,19
"ZurichInsurGrpN",2005,2005-06-01,0.513830361966505,0.513830361966505,19,19
"ZurichInsurGrpN",2006,2006-06-01,0.18839441847186,0.18839441847186,19,19
"ZurichInsurGrpN",2007,2007-06-01,-0.00900900900900901,-0.00900900900900901,19,19
"ZurichInsurGrpN",2008,2008-06-01,-0.283939393939394,-0.283939393939394,19,19
"ZurichInsurGrpN",2009,2009-06-01,-0.022852306390182,-0.022852306390182,19,19
"ZurichInsurGrpN",2010,2010-06-01,0.0747051114023591,0.0747051114023591,19,19
"ZurichInsurGrpN",2011,2011-06-01,-0.116707616707617,-0.116707616707617,19,19
"ZurichInsurGrpN",2012,2012-06-01,0.144181733889662,0.144181733889662,19,19
"ZurichInsurGrpN",2013,2013-06-01,0.0397082658022691,0.0397082658022691,19,19
"ZurichInsurGrpN",2014,2014-06-01,0.214341387373344,0.214341387373344,19,19
"ZurichInsurGrpN",2015,2015-06-01,-0.189666238767651,-0.189666238767651,19,19
