"IndustryGroup";"IndustryName";"NumberofFirms";"Beta";"ROE";"CostofEquity";"(ROE-COE)";"BVofEquity";"EquityEVA";"ROC";"CostofCapital";"(ROC-WACC)";"BVofCapital";"EVA";"E/(D+E)";"StdDevinStock";"CostofDebt";"TaxRate";"After-taxCostofDebt";"D/(D+E)"
"Raw Materials";"Metals & Mining";110;1.49;-2.07;"12.92%";"-14.99%";"$264'064.36";"$(39'578.26)";"7.38%";"8.53%";"-1.15%";"$398'030.07";"$(4'569.52)";"51.10%";71.08;"5.38%";"14.49%";"3.94%";"48.90%"
"";"Office Equipment & Services";32;0.91;14.68;"8.81%";"5.87%";"$4'180.59";"$245.55";"16.81%";"7.60%";"9.22%";"$7'774.37";"$716.58";"76.89%";52.36;"4.88%";"13.45%";"3.57%";"23.11%"
"Raw Materials";"Oil/Gas (Integrated)";15;1.89;-2.09;"15.78%";"-17.87%";"$649'674.50";"$(116'088.14)";"1.77%";"10.83%";"-9.06%";"$867'144.08";"$(78'524.95)";"60.66%";43.09;"4.38%";"2.41%";"3.21%";"39.34%"
"Energy";"Oil/Gas (Production and Exploration)";133;2.02;-16.42;"16.72%";"-33.15%";"$88'156.62";"$(29'221.19)";"3.91%";"8.52%";"-4.61%";"$128'435.15";"$(5'916.02)";"35.84%";70.91;"5.38%";"12.48%";"3.94%";"64.16%"
"Energy";"Oil/Gas Distribution";34;1.72;9.77;"14.59%";"-4.82%";"$15'250.62";"$(734.87)";"7.44%";"8.91%";"-1.47%";"$34'673.19";"$(511.29)";"48.47%";51.84;"4.88%";"3.15%";"3.57%";"51.53%"
"Raw Materials";"Oilfield Svcs/Equip.";75;1.75;0.04;"14.77%";"-14.72%";"$135'442.29";"$(19'942.97)";"7.74%";"10.91%";"-3.17%";"$189'311.18";"$(6'010.44)";"65.57%";50.6;"4.88%";"13.39%";"3.57%";"34.43%"
"";"Packaging & Container";53;0.9;11.31;"8.68%";"2.63%";"$16'554.50";"$435.21";"11.50%";"7.24%";"4.26%";"$24'453.99";"$1'041.61";"73.66%";46.34;"4.38%";"9.72%";"3.21%";"26.34%"
"";"Paper/Forest Products";43;1.18;7.64;"10.70%";"-3.06%";"$32'866.94";"$(1'005.03)";"6.82%";"8.19%";"-1.37%";"$53'031.67";"$(726.36)";"66.54%";44.72;"4.38%";"14.16%";"3.21%";"33.46%"
"Energy";"Power";76;0.95;7.7;"9.10%";"-1.40%";"$363'436.30";"$(5'089.02)";"7.51%";"6.25%";"1.25%";"$659'336.20";"$8'269.47";"51.70%";38.94;"4.38%";"16.08%";"3.21%";"48.30%"
"Raw Materials";"Precious Metals";61;1.2;-8.46;"10.83%";"-19.29%";"$3'831.11";"$(739.00)";"2.58%";"9.27%";"-6.70%";"$4'621.81";"$(309.53)";"71.32%";85.62;"7.38%";"16.27%";"5.40%";"28.68%"
"";"Publshing & Newspapers";110;1.02;14.2;"9.56%";"4.64%";"$33'301.67";"$1'543.94";"9.75%";"8.25%";"1.50%";"$41'981.55";"$627.81";"78.12%";54.16;"4.88%";"12.96%";"3.57%";"21.88%"
"Housing";"R.E.I.T.";117;0.89;13.17;"8.63%";"4.53%";"$144'413.49";"$6'546.99";"4.27%";"6.40%";"-2.13%";"$256'909.77";"$(5'474.72)";"58.77%";31.9;"4.38%";"16.88%";"3.21%";"41.23%"
"Housing";"Real Estate (Development)";51;0.87;12.55;"8.49%";"4.06%";"$10'023.06";"$406.87";"6.32%";"5.75%";"0.57%";"$19'710.38";"$113.31";"48.11%";48.69;"4.38%";"20.83%";"3.21%";"51.89%"
"Housing";"Real Estate (General/Diversified)";69;0.85;4.95;"8.34%";"-3.39%";"$16'471.86";"$(558.40)";"2.41%";"5.96%";"-3.56%";"$34'839.57";"$(1'239.50)";"50.11%";52.38;"4.88%";"16.64%";"3.57%";"49.89%"
"Housing";"Real Estate (Operations & Services)";198;0.68;14.24;"7.16%";"7.08%";"$93'568.14";"$6'621.15";"4.47%";"5.34%";"-0.87%";"$203'557.62";"$(1'769.54)";"53.99%";38.82;"4.38%";"15.61%";"3.21%";"46.01%"
"Leisure";"Recreation";48;1.07;8.92;"9.90%";"-0.98%";"$6'757.74";"$(66.48)";"6.02%";"8.07%";"-2.06%";"$13'676.96";"$(281.39)";"72.71%";47.35;"4.38%";"18.27%";"3.21%";"27.29%"
"Finance";"Reinsurance";4;1.34;10.73;"11.87%";"-1.14%";"$87'055.00";"$(991.78)";"10.82%";"9.80%";"1.02%";"$98'361.13";"$999.12";"77.14%";22.23;"3.88%";"13.02%";"2.84%";"22.86%"
